PRIORIDADES;NomBodega;Postcosecha;NomShip;NomShop;Marca;NumPed;Po;TipoDes;Total
17/8/2020;NO ASSIGNED;POSTCOSECHA GERBERAS;FTD FLOWER EXCHANGE;FTD FLOWER EXCHANGE UPS;GERBERA DAISY 10 STEM BUNCH ASSORTED FARM CHOICE ;6553628;17437161;DRY;0,5
17/8/2020;NO ASSIGNED;POSTCOSECHA GERBERAS;FTD FLOWER EXCHANGE;FTD FLOWER EXCHANGE CONSOLIDADO;40 CM ASSORTED GERBERAS;6475943;17229841;DRY;0,3
17/8/2020;NO ASSIGNED;POSTCOSECHA GERBERAS;FTD FLOWER EXCHANGE;FTD FLOWER EXCHANGE CONSOLIDADO;40 CM ASSORTED GERBERAS;6475944;17229842;DRY;0,1
17/8/2020;NO ASSIGNED;POSTCOSECHA GERBERAS;FIFTY FLOWERS;FIFTY FLOWERS;GERBERA GRANDOLA                                  ;6476178;540438;DRY;0,1
17/8/2020;NO ASSIGNED;POSTCOSECHA GERBERAS;BLOOMSYBOX.COM;BLOOMSYBOX.COM;20 ST RAINBOW GERBERA                             ;6546188;3876;DRY;0,3
17/8/2020;NO ASSIGNED;POSTCOSECHA GERBERAS;BLOOMSYBOX.COM;BLOOMSYBOX.COM;RAINBOW GERBERA 15 ST_ONE TIME                    ;6546188;3876;DRY;0,3
17/8/2020;NO ASSIGNED;POSTCOSECHA GERBERAS;MMXII FLOWERS EXPRESS LLC;FRESH CUT FLOWERS INC.;GERBERAS ASSORTED                                 ;6245953;34120;DRY;2,0
17/8/2020;NO ASSIGNED;POSTCOSECHA GERBERAS;JORGE WHOLESALE FLOWERS CORP;JORGE WHOLESALE FLOWERS CORP;GERBERA-ASSORTED                                  ;6410598;12;DRY;0,5
17/8/2020;NO ASSIGNED;BQT - SANTAMARIA;FTD FLOWER EXCHANGE;FTD FLOWER EXCHANGE UPS;FTD Inspired Palettes Collection™ Green Bouquet- ;6535409;17420482;DRY;0,3
17/8/2020;NO ASSIGNED;BQT - SANTAMARIA;FTD FLOWER EXCHANGE;FTD FLOWER EXCHANGE UPS;INSPIRED PALETTES COOL - GOOD ASSORTED BOUQUETS   ;6508128;17372091;DRY;0,3
17/8/2020;NO ASSIGNED;BQT - SANTAMARIA;FTD FLOWER EXCHANGE;FTD FLOWER EXCHANGE UPS;FTD INSPIRED PALETTES COLLECTION™- GOOD  ASSORTED ;6535406;17419754;DRY;0,5
17/8/2020;NO ASSIGNED;BQT - SANTAMARIA;FTD FLOWER EXCHANGE;FTD FLOWER EXCHANGE UPS;FTD INSPIRED PALETTES COLLECTION™- GOOD  ASSORTED ;6545436;17456891;DRY;0,5
17/8/2020;NO ASSIGNED;BQT - SANTAMARIA;FTD FLOWER EXCHANGE;FTD FLOWER EXCHANGE UPS;INSPIRED PALETTES WARM BEST 12  ASSORTED COMBO BOX;6548584;17463052;DRY;0,3
17/8/2020;NO ASSIGNED;BQT - SANTAMARIA;FTD FLOWER EXCHANGE;FTD FLOWER EXCHANGE UPS;FTD Inspired Palettes Collection™ Blue Bouquet -  ;6535408;17420481;DRY;0,3
17/8/2020;NO ASSIGNED;BQT - SANTAMARIA;FTD FLOWER EXCHANGE;FTD FLOWER EXCHANGE UPS;INSPIRED PALETTES COOL BEST COMBO BOX             ;6548583;17463051;DRY;0,5
17/8/2020;NO ASSIGNED;BQT - SANTAMARIA;FTD FLOWER EXCHANGE;FTD FLOWER EXCHANGE CONSOLIDADO;WHITE BLISS  WHITE COMBO BOX;6535413;174293112;DRY;0,5
17/8/2020;NO ASSIGNED;BQT - SANTAMARIA;NATIVE WHOLESALE INC,NATIVE FLORAL LLC FDX;NATIVE PRODUCTION - CHICAGO;Floral Bqt WHITE 21 stm W35                       ;6537066;316581;DRY;30,0
17/8/2020;NO ASSIGNED;BQT - SANTAMARIA;NATIVE WHOLESALE INC,NATIVE FLORAL LLC FDX;NATIVE PRODUCTION - CHICAGO;Floral Bqt BRIGHT 22 ST W35                       ;6537067;316581;DRY;60,0
17/8/2020;NO ASSIGNED;BQT - SANTAMARIA;NATIVE WHOLESALE INC,NATIVE FLORAL LLC FDX;NATIVE PRODUCTION - BALTIMORE/JESSUP;Floral Bqt WHITE 21 stm W35                       ;6537205;316595;DRY;20,0
17/8/2020;NO ASSIGNED;BQT - SANTAMARIA;FLOWER BUYER LLC/ TELEFLORA;FLOWER BUYER LLC/TELEFLORA;J.D.s Irish Ivy                                   ;6553681;3050461;DRY;0,3
17/8/2020;NO ASSIGNED;BQT - SANTAMARIA;FLOWER BUYER LLC/ TELEFLORA;FLOWER BUYER LLC/TELEFLORA;Thomas Florist & Gifts                            ;6553684;3053226;DRY;0,3
17/8/2020;NO ASSIGNED;BQT - SANTAMARIA;ULTRA MARKETING;ULTRA MARKETING;HYPERICUM RED  60 CMS                             ;6553390;6553390;DRY;0,3
17/8/2020;NO ASSIGNED;BQT - SANTAMARIA;BLOOMEX AUSTRALIA;BLOOMEX AUSTRALIA;Ruscus spp                                        ;6448993;3420;DRY;1,0
17/8/2020;NO ASSIGNED;BQT - SANTAMARIA;BLOOMEX AUSTRALIA;BLOOMEX AUSTRALIA;Ruscus spp                                        ;6448994;3420;DRY;1,0
17/8/2020;NO ASSIGNED;BQT - SANTAMARIA;BLOOMEX AUSTRALIA;BLOOMEX AUSTRALIA;Ruscus spp.                                       ;6448992;3420;DRY;1,0
17/8/2020;NO ASSIGNED;BQT - SANTAMARIA;BLOOMEX AUSTRALIA;BLOOMEX  AUSTRALIA - PERTH;Ruscus spp.                                       ;6449003;3420;DRY;1,0
